libID,ID,sex,vaccine,time,timepoint,mouse,organ,group,group_detailed,group_final
4783_G3,4783,F,RAS,44hpi,acute,balbcj,liver,G3,F_RAS_44hpi,F_RAS_44hpi
4728_G4,4728,M,RAS,44hpi,acute,balbcj,liver,G4,M_RAS_44hpi,M_RAS_44hpi
4750_G2,4750,M,mock,44hpi,mock,balbcj,liver,G2,M_mock_44hpi,M_mock
4786_G5,4786,F,RAS,6dpi,adaptive,balbcj,liver,G5,F_RAS_6dpi,F_RAS_6dpi
4756_G10,4756,M,gg_RAS,6dpi,adaptive,balbcj,liver,G10,M_gg_RAS_6dpi,M_gg_RAS_6dpi
4780_G1,4780,F,mock,6dpi,mock,balbcj,liver,G1,F_mock_6dpi,F_mock
4727_G4,4727,M,RAS,44hpi,acute,balbcj,liver,G4,M_RAS_44hpi,M_RAS_44hpi
4794_G7,4794,F,gg_RAS,44hpi,acute,balbcj,liver,G7,F_gg_RAS_44hpi,F_gg_RAS_44hpi
4745_G2,4745,M,mock,44hpi,mock,balbcj,liver,G2,M_mock_44hpi,M_mock
4760_G2,4760,M,mock,6dpi,mock,balbcj,liver,G2,M_mock_6dpi,M_mock
4793_G7,4793,F,gg_RAS,44hpi,acute,balbcj,liver,G7,F_gg_RAS_44hpi,F_gg_RAS_44hpi
4788_G5,4788,F,RAS,6dpi,adaptive,balbcj,liver,G5,F_RAS_6dpi,F_RAS_6dpi
4784_G3,4784,F,RAS,44hpi,acute,balbcj,liver,G3,F_RAS_44hpi,F_RAS_44hpi
4729_G4,4729,M,RAS,44hpi,acute,balbcj,liver,G4,M_RAS_44hpi,M_RAS_44hpi
4778_G9,4778,F,gg_RAS,6dpi,adaptive,balbcj,liver,G9,F_gg_RAS_6dpi,F_gg_RAS_6dpi
4779_G9,4779,F,gg_RAS,6dpi,adaptive,balbcj,liver,G9,F_gg_RAS_6dpi,F_gg_RAS_6dpi
4748_G6,4748,M,RAS,6dpi,adaptive,balbcj,liver,G6,M_RAS_6dpi,M_RAS_6dpi
4785_G1,4785,F,mock,44hpi,mock,balbcj,liver,G1,F_mock_44hpi,F_mock
4749_G6,4749,M,RAS,6dpi,adaptive,balbcj,liver,G6,M_RAS_6dpi,M_RAS_6dpi
4755_G2,4755,M,mock,6dpi,mock,balbcj,liver,G2,M_mock_6dpi,M_mock
4791_G7,4791,F,gg_RAS,44hpi,acute,balbcj,liver,G7,F_gg_RAS_44hpi,F_gg_RAS_44hpi
4782_G3,4782,F,RAS,44hpi,acute,balbcj,liver,G3,F_RAS_44hpi,F_RAS_44hpi
4787_G5,4787,F,RAS,6dpi,adaptive,balbcj,liver,G5,F_RAS_6dpi,F_RAS_6dpi
4759_G10,4759,M,gg_RAS,6dpi,adaptive,balbcj,liver,G10,M_gg_RAS_6dpi,M_gg_RAS_6dpi
4754_G8,4754,M,gg_RAS,44hpi,acute,balbcj,liver,G8,M_gg_RAS_44hpi,M_gg_RAS_44hpi
4781_G3,4781,F,RAS,44hpi,acute,balbcj,liver,G3,F_RAS_44hpi,F_RAS_44hpi
4789_G5,4789,F,RAS,6dpi,adaptive,balbcj,liver,G5,F_RAS_6dpi,F_RAS_6dpi
4757_G10,4757,M,gg_RAS,6dpi,adaptive,balbcj,liver,G10,M_gg_RAS_6dpi,M_gg_RAS_6dpi
4747_G6,4747,M,RAS,6dpi,adaptive,balbcj,liver,G6,M_RAS_6dpi,M_RAS_6dpi
4752_G8,4752,M,gg_RAS,44hpi,acute,balbcj,liver,G8,M_gg_RAS_44hpi,M_gg_RAS_44hpi
4790_G1,4790,F,mock,44hpi,mock,balbcj,liver,G1,F_mock_44hpi,F_mock
4776_G9,4776,F,gg_RAS,6dpi,adaptive,balbcj,liver,G9,F_mock_44hpi,F_mock
4795_G1,4795,F,mock,6dpi,mock,balbcj,liver,G1,F_mock_6dpi,F_mock
4777_G9,4777,F,gg_RAS,6dpi,adaptive,balbcj,liver,G9,F_gg_RAS_6dpi,F_gg_RAS_6dpi
4751_G8,4751,M,gg_RAS,44hpi,acute,balbcj,liver,G8,M_gg_RAS_44hpi,M_gg_RAS_44hpi
4746_G6,4746,M,RAS,6dpi,adaptive,balbcj,liver,G6,M_RAS_6dpi,M_RAS_6dpi
4753_G8,4753,M,gg_RAS,44hpi,acute,balbcj,liver,G8,M_gg_RAS_44hpi,M_gg_RAS_44hpi
4726_G4,4726,M,RAS,44hpi,acute,balbcj,liver,G4,M_RAS_44hpi,M_RAS_44hpi
4792_G7,4792,F,gg_RAS,44hpi,acute,balbcj,liver,G7,F_gg_RAS_44hpi,F_gg_RAS_44hpi
4758_G10,4758,M,gg_RAS,6dpi,adaptive,balbcj,liver,G10,M_gg_RAS_6dpi,M_gg_RAS_6dpi
